Difference,Parameter,Reference,
-0.006000519,Gre,Weinzirl et al. (2014),Hoya
-0.005599952,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0,Gre,Weinzirl et al. (2014),Hoya
0.00999999,Gre,Weinzirl et al. (2014),Hoya
0.010000229,Gre,Weinzirl et al. (2014),Hoya
0.010000229,Gre,Weinzirl et al. (2014),Hoya
0.011199899,Gre,Weinzirl et al. (2014),Hoya
0.01199913,Gre,Weinzirl et al. (2014),Hoya
0.013999939,Gre,Weinzirl et al. (2014),Hoya
0.017999649,Gre,Weinzirl et al. (2014),Hoya
0.01999855,Gre,Weinzirl et al. (2014),Hoya
0.01999998,Gre,Weinzirl et al. (2014),Hoya
0.020000458,Gre,Weinzirl et al. (2014),Hoya
0.020000458,Gre,Weinzirl et al. (2014),Hoya
0.02599907,Gre,Weinzirl et al. (2014),Hoya
0.028999329,Gre,Weinzirl et al. (2014),Hoya
0.029999733,Gre,Weinzirl et al. (2014),Hoya
0.030000687,Gre,Weinzirl et al. (2014),Hoya
0.032000275,Gre,Weinzirl et al. (2014),Hoya
